Origen,'Proyecto ALIAS',País,'Tipo de Proyecto','Estado manual',MES,'Estado Proyecto (Fecha creación LEAD)','TC (ARS/USD)','Variación TC ARS/USD (- 12 SEM)','Variación TC UYU/USD (- 12 SEM)','Tasa interés crédito hipoteca',Class
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Google,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Emblue,'Proyecto #3',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Espontaneo,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Espontaneo,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.9,0.0461,0.0813,5.89,'UNQUALIFIED LEAD'
E-mailing,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.9,0.0461,0.0813,18.42,'UNQUALIFIED LEAD'
E-mailing,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
E-mailing,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Espontaneo,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16.1,0.0662,0.0755,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16.1,0.0662,0.0755,18.42,'UNQUALIFIED LEAD'
E-mailing,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,16,0.0596,0.0637,18.42,'UNQUALIFIED LEAD'
E-mailing,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16,0.0596,0.0637,18.42,'UNQUALIFIED LEAD'
Espontaneo,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,16,0.0596,0.0637,18.42,'UNQUALIFIED LEAD'
E-mailing,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,16,0.0596,0.0637,18.42,'UNQUALIFIED LEAD'
Google,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Google,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
E-mailing,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,16,0.0596,0.0637,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,16,0.0596,0.0637,5.89,'UNQUALIFIED LEAD'
E-mailing,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.8,0.0464,0.0465,18.42,'UNQUALIFIED LEAD'
E-mailing,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.8,0.0464,0.0465,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.8,0.0464,0.0465,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.8,0.0464,0.0465,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.8,0.0464,0.0465,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.8,0.0464,0.0465,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.8,0.0464,0.0465,5.89,'UNQUALIFIED LEAD'
Organico,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.8,0.0464,0.0465,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.8,0.0464,0.0465,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.8,0.0464,0.0465,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Google,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Google,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Google,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
ZonaProp,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Perfil inadecuado',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #1',UY,Departamentos,'Posible comprador',1,PV,15.85,0.0428,0.0522,5.89,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Posible comprador',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
Facebook,'Proyecto #2',AR,Departamentos,'Perfil inadecuado',1,FO,15.85,0.0428,0.0522,18.42,'UNQUALIFIED LEAD'
